k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,5,250,150,60000,0.1,1340.73,1246,5.09245,952.252,0,60000,156.059,1371,42,0.902487,32.4618,18.6763,1431.68
2000,5,250,150,70000,0.15,1340.73,1246,5.09245,1096.49,0.00173812,70000,157.021,1371,42,0.923546,37.6947,21.687,1434.69
2000,5,250,150,70000,0.12,1340.73,1246,5.09245,1096.49,0,70000,157.021,1371,41,0.923546,37.6199,21.644,1433.64
2000,5,250,150,70000,0.1,1340.73,1246,5.09245,1096.49,0,70000,157.021,1371,41,0.923546,37.7048,21.6928,1433.69
2000,5,250,150,80000,0.15,1340.73,1246,5.09245,1239.04,0.00289687,80000,157.572,1371,41,0.936003,42.9035,24.6838,1436.68
2000,5,250,150,80000,0.12,1340.73,1246,5.09245,1239.04,0.00115875,80000,157.572,1371,41,0.936003,42.9537,24.7127,1436.71
2000,5,250,150,80000,0.1,1340.73,1246,5.09245,1239.04,0.000579374,80000,157.572,1371,41,0.936003,42.9319,24.7002,1436.7
2000,5,250,120,60000,0.15,1340.73,1246,5.09245,1077.08,0.00115875,60000,155.494,1371,41,0.91197,32.5536,18.7292,1430.73
2000,5,250,120,60000,0.12,1340.73,1246,5.09245,1077.08,0,60000,155.494,1371,41,0.91197,32.5881,18.749,1430.75
2000,5,250,120,60000,0.1,1340.73,1246,5.09245,1077.08,0,60000,155.494,1371,40,0.91197,32.5617,18.7338,1429.73
2000,5,250,120,70000,0.15,1340.73,1246,5.09245,1241.27,0.00260718,70000,156.167,1371,40,0.927215,37.8097,21.7532,1432.75
2000,5,250,120,70000,0.12,1340.73,1246,5.09245,1241.27,0.000869061,70000,156.167,1371,40,0.927215,37.8757,21.7912,1432.79
2000,5,250,120,70000,0.1,1340.73,1246,5.09245,1241.27,0.000579374,70000,156.167,1371,40,0.927215,37.7268,21.7055,1432.71
2000,5,250,120,80000,0.15,1340.73,1246,5.09245,1405.15,0.00463499,80000,156.648,1371,40,0.938464,43.0678,24.7783,1435.78
2000,5,250,120,80000,0.12,1340.73,1246,5.09245,1405.15,0.00202781,80000,156.648,1371,40,0.938464,43.1767,24.841,1435.84
2000,5,250,120,80000,0.1,1340.73,1246,5.09245,1405.15,0.000579374,80000,156.648,1371,39,0.938464,43.2355,24.8748,1434.87
2000,5,250,100,60000,0.15,1340.73,1246,5.09245,1196.51,0.0023175,60000,154.691,1371,39,0.914808,32.7283,18.8297,1428.83
2000,5,250,100,60000,0.12,1340.73,1246,5.09245,1196.51,0.000579374,60000,154.691,1371,40,0.914808,32.7694,18.8533,1429.85
2000,5,250,100,60000,0.1,1340.73,1246,5.09245,1196.51,0.000289687,60000,154.691,1371,39,0.914808,32.6023,18.7572,1428.76
2000,5,250,100,70000,0.15,1340.73,1246,5.09245,1381.31,0.00434531,70000,155.311,1371,39,0.928857,38.0304,21.8802,1431.88
2000,5,250,100,70000,0.12,1340.73,1246,5.09245,1381.31,0.00173812,70000,155.311,1371,40,0.928857,38.1964,21.9757,1432.98
2000,5,250,100,70000,0.1,1340.73,1246,5.09245,1381.31,0.000579374,70000,155.311,1371,39,0.928857,38.2239,21.9915,1431.99
2000,5,250,100,80000,0.15,1340.73,1246,5.09245,1566.37,0.00724218,80000,155.734,1371,38,0.938966,43.4009,24.97,1433.97
2000,5,250,100,80000,0.12,1340.73,1246,5.09245,1566.37,0.00347625,80000,155.734,1371,39,0.938966,43.3699,24.9522,1434.95
2000,5,250,100,80000,0.1,1340.73,1246,5.09245,1566.37,0.00115875,80000,155.734,1371,39,0.938966,43.3983,24.9685,1434.97
2000,3,400,150,60000,0.15,1340.73,1221,5.01732,1036.85,0.00202781,60000,151.279,839,42,0.844108,32.9904,18.9805,899.981
2000,3,400,150,60000,0.12,1340.73,1221,5.01732,1036.85,0.000289687,60000,151.279,839,41,0.844108,32.9105,18.9345,898.934
2000,3,400,150,60000,0.1,1340.73,1221,5.01732,1036.85,0,60000,151.279,839,42,0.844108,32.8557,18.903,899.903
